Layer,MACS
Linear,49152
Linear,16384
Linear,32768
Linear,32768
Linear,49152
Linear,16384
Linear,32768
Linear,32768
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,307200
Linear,102400
Linear,204800
Linear,204800
Linear,307200
Linear,102400
Linear,204800
Linear,204800
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,307200
Linear,102400
Linear,204800
Linear,204800
Linear,307200
Linear,102400
Linear,204800
Linear,204800
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,196608
Linear,65536
Linear,131072
Linear,131072
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,110592
Linear,36864
Linear,73728
Linear,73728
Linear,49152
Linear,16384
Linear,32768
Linear,32768
Linear,49152
Linear,16384
Linear,32768
Linear,32768
Linear,4718592
Linear,1572864
Linear,1048576
Linear,2097152
Linear,2097152
Linear,786432
Linear,4096
Linear,4096
Linear,4096
Linear,4096
Linear,8192
Linear,32768
Linear,4096
Linear,4096
Linear,4096
Linear,4096
Linear,8192
Linear,32768
Linear,4096
Linear,4096
Linear,4096
Linear,4096
Linear,8192
Linear,32768
